pickup_flag,user,text
1,mattermost,"@channel 

## ** GroupSessionメンテナス(緊急)**
---

GroupSessionにアクセスが集中して回線が重くなっているため、サービスを停止して、改善作業を実施致します。

■作業時間
**２０２５年３月１9日（水） 14：30 ～ 15：30**


以上 お手数をおかけしますが、よろしくお願いいたします。"
0,kawashima,3/24でしょうか？
0,ry-hanada,きっと、2025/03/19　14:30～15:30　かと。。。。。
0,y-tomizawa,すみません、作業時間間違えておりましたので、修正致しました。
0,mattermost,"@channel 

## ** GroupSessionメンテナス(緊急)**
---

* 復旧作業完了致しました。
* サービス再開致しました。"
1,k-oota,"@channel 
### 47期決算賞与明細書掲載について

下記の日程で掲載いたします。
ご確認の程、よろしくお願いいたします。
※支給日は2025年4月4日（金）です。

**【掲載日時】
　　2025年3月31日（月）　午前9時**
"
0,mattermost,"
## JBDナレッジの更新情報 :pencil: 

* 下記のページが１週間以内に更新されています。



　

|ページ|更新日|更新者|
|-|-|
|[Office2016導入PC](https://wiki.jbdcl.com/65546c2028cf0e07df594ccf)|2025/03/24 01:10|田渕 達也|
|[1201_開発戦略本部からのお願い](https://wiki.jbdcl.com/655afc2c28cf0e07df5d900a)|2025/03/21 05:15|冨澤 裕喜|
|[パスワード変更_未実施者](https://wiki.jbdcl.com/66e90c1b9ff03c06b0fc3a74)|2025/03/23 02:10|田渕 達也|
|[1231_受講者状況](https://wiki.jbdcl.com/63e0960d922bc9d167bd84bb)|2025/03/23 02:50|田渕 達也|
|[10.棚卸未実施一覧](https://wiki.jbdcl.com/655c272828cf0e07df5e3b75)|2025/03/24 01:30|田渕 達也|
|[11.棚卸管理シール貼付け未実施一覧](https://wiki.jbdcl.com/66976f629ff03c06b09395f5)|2025/03/23 01:40|田渕 達也|
|[1260_開発サーバー](https://wiki.jbdcl.com/66c6abb29ff03c06b0d2df54)|2025/03/23 01:50|田渕 達也|
|[1270_資産管理](https://wiki.jbdcl.com/67aea4709ff03c06b0cc7afe)|2025/03/17 02:37|冨澤 裕喜|
|[Windows10PC一覧](https://wiki.jbdcl.com/6556ba1528cf0e07df5aec55)|2025/03/24 01:20|田渕 達也|
|[4_コンポーネントを掘り下げる](https://wiki.jbdcl.com/67d7f2a69ff03c06b0eea0d9)|2025/03/17 07:00|永井 利樹|
|[03_IM-Workflow導入研修](https://wiki.jbdcl.com/67cacd319ff03c06b0e540c5)|2025/03/17 07:07|安藤 翼|
|[01_ワークフロー初期設定](https://wiki.jbdcl.com/67d7ec849ff03c06b0ee817e)|2025/03/17 06:38|安藤 翼|
|[02_コンテンツ定義](https://wiki.jbdcl.com/67d7ec949ff03c06b0ee82db)|2025/03/17 06:42|安藤 翼|
|[03_ルート設定](https://wiki.jbdcl.com/67d7ec9e9ff03c06b0ee83bd)|2025/03/17 06:44|安藤 翼|
|[04_フロー定義](https://wiki.jbdcl.com/67d7ef4b9ff03c06b0ee9461)|2025/03/17 06:47|安藤 翼|
|[05_申請](https://wiki.jbdcl.com/67d7f0009ff03c06b0ee985b)|2025/03/17 06:50|安藤 翼|
|[06_動的承認者設定](https://wiki.jbdcl.com/67d7f1739ff03c06b0ee9d30)|2025/03/17 07:00|安藤 翼|
|[07_分岐](https://wiki.jbdcl.com/67d7f2e09ff03c06b0eea631)|2025/03/17 07:02|安藤 翼|
|[08_代理設定](https://wiki.jbdcl.com/67d7ecb79ff03c06b0ee86d0)|2025/03/17 07:05|安藤 翼|
|[09_参照者設定](https://wiki.jbdcl.com/67d7ecbf9ff03c06b0ee8779)|2025/03/17 07:06|安藤 翼|
|[04_IM-Workflowプログラミング研修](https://wiki.jbdcl.com/67cacd449ff03c06b0e54107)|2025/03/17 08:04|安藤 翼|
|[01_申請画面作成](https://wiki.jbdcl.com/67d7f5799ff03c06b0eeb075)|2025/03/17 07:26|安藤 翼|
|[02_アクション処理](https://wiki.jbdcl.com/67d7f9799ff03c06b0eeb490)|2025/03/17 07:30|安藤 翼|
|[03_処理画面作成](https://wiki.jbdcl.com/67d7f9f69ff03c06b0eeb6bd)|2025/03/17 07:41|安藤 翼|
|[04_詳細画面作成](https://wiki.jbdcl.com/67d7fc5e9ff03c06b0eebb9d)|2025/03/17 07:43|安藤 翼|
|[05_案件プロパティ](https://wiki.jbdcl.com/67d7fccf9ff03c06b0eebd91)|2025/03/17 07:46|安藤 翼|
|[06_定義から申請](https://wiki.jbdcl.com/67d7fe269ff03c06b0eebf78)|2025/03/17 07:51|安藤 翼|
|[07_ユーザプログラム](https://wiki.jbdcl.com/67d7fee19ff03c06b0eec180)|2025/03/17 07:56|安藤 翼|
|[08_処理対象者プラグインについて](https://wiki.jbdcl.com/67d800a99ff03c06b0eec64b)|2025/03/17 07:59|安藤 翼|
|[01_プラグインの準備](https://wiki.jbdcl.com/67d800049ff03c06b0eec3b9)|2025/03/17 07:59|安藤 翼|
|[02_プラグインの作成](https://wiki.jbdcl.com/67d800d09ff03c06b0eec8cc)|2025/03/17 08:03|安藤 翼|
|[oVirtでの仮想環境](https://wiki.jbdcl.com/67b7c7be9ff03c06b0d58b3b)|2025/03/18 04:12|楠元 駿平|
|[通信の暗号化について](https://wiki.jbdcl.com/673170219ff03c06b0530019)|2025/03/18 05:53|野原 夏芽|
|[pert図について](https://wiki.jbdcl.com/67d8bad69ff03c06b0eef22e)|2025/03/18 09:14|髙野 泰河|
|[文字起こし](https://wiki.jbdcl.com/67a9a3749ff03c06b0c7f0e9)|2025/03/21 10:53|石井 教観|
|[S21_タスク詳細画面](https://wiki.jbdcl.com/679354609ff03c06b0ad0d8f)|2025/03/21 10:42|石井 教観|
|[2025年04月(青山)](https://wiki.jbdcl.com/67da4cf69ff03c06b0f06690)|2025/03/21 05:17|荒井 健一郎|
|[DB復元後実行スクリプト](https://wiki.jbdcl.com/66ea81099ff03c06b0fe4611)|2025/03/18 06:58|藤本 正貫|
|[UAT運営](https://wiki.jbdcl.com/67c7ec0c9ff03c06b0e29be8)|2025/03/18 04:54|大和田 啓吾|
|[ランキングページ](https://wiki.jbdcl.com/63a10a4eb5e7e15fd789a29d)|2025/03/23 02:00|田渕 達也|
"
1,morita,"@channel 

## **年度切替対応のお知らせ**

標記の件につきまして、以下日程で作業を実施します。

■作業日程
**２０２５年３月３１日（月） １８：００～**

#### 作業内容

* 所属組織の変更
* JBD基盤のマスタ反映
* JBD基盤サービスの年度切替通知

##### 注意

上記の時間は以下サービスは停止しますのでご注意ください。

* Xpoint
* GroupSession

以上 お手数をおかけしますが、よろしくお願いいたします。
"
0,k-oota,"@channel 
### ザイオンメンテナンス（47期組織へ切替）

47期組織変更に伴い、勤怠管理システム（Zaion）のメンテナンスを下記日程で行います。
メンテナンス日はワークフロー申請等は行わないようお願いいたします。
(注意）4月分の申請等は、メンテナンス終了後にお願いいたします。


#### 【メンテナンス実施日】
####    2025年4月7日（月）

ご迷惑をお掛けいたしますが、ご協力の程よろしくお願いいたします。 "
1,y-tomizawa,"@channel 
## 45期全社共有の削除

* 47期に入るにあたり、2期前の45期全社共有フォルダを削除します。
* 以下の期限までに必要なファイル等ある方は移動をお願い致します。

|||
|-|-|
|期限|2025年4月30日|"
0,mattermost,"
## JBDナレッジの更新情報 :pencil: 

* 下記のページが１週間以内に更新されています。



　

|ページ|更新日|更新者|
|-|-|
|[Office2016導入PC](https://wiki.jbdcl.com/65546c2028cf0e07df594ccf)|2025/03/31 01:10|田渕 達也|
|[パスワード変更_未実施者](https://wiki.jbdcl.com/66e90c1b9ff03c06b0fc3a74)|2025/03/30 02:10|田渕 達也|
|[1231_受講者状況](https://wiki.jbdcl.com/63e0960d922bc9d167bd84bb)|2025/03/30 02:50|田渕 達也|
|[10.棚卸未実施一覧](https://wiki.jbdcl.com/655c272828cf0e07df5e3b75)|2025/03/31 01:30|田渕 達也|
|[11.棚卸管理シール貼付け未実施一覧](https://wiki.jbdcl.com/66976f629ff03c06b09395f5)|2025/03/30 01:40|田渕 達也|
|[1260_開発サーバー](https://wiki.jbdcl.com/66c6abb29ff03c06b0d2df54)|2025/03/30 01:50|田渕 達也|
|[Windows10PC一覧](https://wiki.jbdcl.com/6556ba1528cf0e07df5aec55)|2025/03/31 01:20|田渕 達也|
|[02_イベント処理](https://wiki.jbdcl.com/67bd6f049ff03c06b0d93b22)|2025/03/28 06:44|山中 拓人|
|[CLIでデプロイする方法](https://wiki.jbdcl.com/67e252a59ff03c06b0f4d923)|2025/03/25 07:26|小坂 海碧|
|[50_外販に向けたタスク](https://wiki.jbdcl.com/67da57cc9ff03c06b0f096da)|2025/03/25 06:02|砂盃 梨乃|
|[タスク](https://wiki.jbdcl.com/67a5baee9ff03c06b0c6212b)|2025/03/24 04:24|石井 教観|
|[要約](https://wiki.jbdcl.com/67a9afe39ff03c06b0c841f2)|2025/03/25 04:13|石井 教観|
|[分析処理設計](https://wiki.jbdcl.com/67a061dd9ff03c06b0bb3ab2)|2025/03/24 04:14|石井 教観|
|[20250326](https://wiki.jbdcl.com/67e27e8b9ff03c06b0f5440e)|2025/03/25 07:08|砂盃 梨乃|
|[2025年3月(小山)_Webアプリケーションの脆弱性について](https://wiki.jbdcl.com/67e662c79ff03c06b0f9a700)|2025/03/28 05:50|小山 亮|
|[46期_20250326](https://wiki.jbdcl.com/67e270c99ff03c06b0f51fce)|2025/03/25 08:55|花田 亮太|
|[01.PMOとは何か](https://wiki.jbdcl.com/65eeb3a428cf0e07dfcbc210)|2025/03/27 12:47|中川 知是|
|[02.PMOの種類や役割](https://wiki.jbdcl.com/65eeb3b228cf0e07dfcbc250)|2025/03/27 12:42|中川 知是|
|[03.PMOのプロセス](https://wiki.jbdcl.com/65eeb3c228cf0e07dfcbc2bf)|2025/03/27 12:41|中川 知是|
|[10.デモンストレーション](https://wiki.jbdcl.com/66908bda9ff03c06b08b9f1b)|2025/03/28 01:13|大和田 啓吾|
|[020.画面遷移図](https://wiki.jbdcl.com/66c8289d9ff03c06b0d56b55)|2025/03/26 08:06|恩田 優|
|[20.TOP管理](https://wiki.jbdcl.com/668f642f9ff03c06b089a7b3)|2025/03/26 10:15|大和田 啓吾|
|[JBDNEWS](https://wiki.jbdcl.com/67e1230d9ff03c06b0f3d002)|2025/03/24 06:17|久保 美也子|
|[ランキングページ](https://wiki.jbdcl.com/63a10a4eb5e7e15fd789a29d)|2025/03/30 02:00|田渕 達也|
"
0,morita,"@channel 

予定通り、本日１８：００から作業を開始します。
作業中、以下のサービスは停止しますので
ご留意いただきますよう、お願いいたします。

Xpoint
GroupSession
"
0,morita,"@channel 

## **年度切替対応**

作業開始します。"
0,morita,"@channel 

* GroupSession 組織切替完了しました。"
1,morita,"@channel 

* Xpoint 完了

組織変更に伴い以下の期間は４６期、４７期の両方に所属した状態となります。

並行所属期間：２０２５年３月３１日（月） ～ ２０２５年４月２１日（月）

４６期組織にて申請を上げる必要がある場合は、上記期間内にお願いします。
申請時の所属組織は、各申請フォームの設定より変更することが可能です。
※主所属は４７期組織となりますので、設定を変更しない場合は４７期組織での申請となります。
　なお以前の申請をコピーで利用した場合、所属組織がコピー元申請の所属組織になりますので、ご留意ください。"
1,mattermost,"@channel

## **年度切替の開始お知らせ**

* JBD基盤のマスタ反映を実施します。
* JBD基盤サービスの年度切替通知を行います。

### JBD基盤マスタ

* ユーザー情報
* 事業部情報
* 役職情報

### JBD基盤サービス

* プロジェクト企画申請
* メーリングリスト申請
* オンラインストレージ利用申請
* 開発用サーバー利用申請
* Redmine外部共有申請"
1,mattermost,"@channel

## **年度切替の終了お知らせ**

* 所属組織の変更が完了しました。
* JBD基盤のマスタ反映が完了しました。
* JBD基盤サービスの年度切替通知を実施しました。

### JBD基盤サービス年度切替依頼

* 各サービスの責任者に棚卸処理通知を実施いたしました。
* 期日までに各サービスの申請（年度切替）をお願い致します。

### Xpoint所属組織に関するお知らせ

* 以下の期間は４６期、４７期の両方の組織に所属した状態となります。

　　２０２５年３月３１日（月） ～ ２０２５年４月２１日（月）
　　４６期組織にて申請を上げる必要がある場合は、上記期間内にお願い致します。
　　[申請時の所属組織切り替え](https://wiki.jbdcl.com/648a6f29922bc9d167f37688#%E7%94%B3%E8%AB%8B%E6%99%82%E3%81%AE%E6%89%80%E5%B1%9E%E7%B5%84%E7%B9%94%E5%88%87%E3%82%8A%E6%9B%BF%E3%81%88)

**※主所属は４７期組織となります。設定を変更しない場合は４７期組織での申請となります。
　以前の申請をコピーで利用した場合、所属組織がコピー元申請の所属組織になりますので、ご留意ください。**"
1,mattermost,"@channel 

## 46期ナレッジポイントについて

* JBDでは、業務関連、技術関連、プロジェクト関連のナレッジを [WIKI](https://wiki.jbdcl.com)  に構築しております。
* ４６期のポイント獲得状況を掲示いたします。
* ４７期も継続して実施いたしますので、皆さんもナレッジの共有をお願いします。 :man-bowing: 

### 獲得者

* ４６期入社の社員での上位獲得ポイント３名

| 順位 | 事業部 | 氏名 | ポイント数 | ページ登録数 | ページ閲覧者数 | ページ閲覧数 |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 1 | IT事業部 | 小坂 海碧 | 571 | 10 | 186 | 99 |
| 2 | 中部第１事業部 | 河野 眞欧 | 437 | 14 | 61 | 175 |
| 3 | EBS事業部 | 若林 晃 | 418 | 12 | 88 | 122 |

* 上記以外の４６期獲得ポイント上位４名

| 順位 | 事業部 | 氏名 | ポイント数 | ページ登録数 | ページ閲覧者数 | ページ閲覧数 |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 1 | 役員 | 田渕 達也 | 7937 | 76 | 3441 | 295 |
| 2 | FP事業部 | 大和田 啓吾 | 3662 | 127 | 1034 | 324 |
| 3 | 西日本第１開発本部 | 馬場 健司 | 2203 | 41 | 830 | 133 |
| 4 | 開発庶務室 | 冨澤 裕喜 | 1145 | 6 | 498 | 89 |

"
1,tabuchi,"@channel 


### GroupSessionのレスポンス改善

* サーバの負荷状況を確認しますと、メモリ不足でスワップされ処理低下することを確認しました。
* 現状のインスタンス`t2.large`を`t3.xlarge`に変更したいと考えております。
* アクセスの集中する時間が、9:00,10:00, 13:00,17:00であるため、速やかに対応したいと思います。

## インスタンス変更日時

* 2025/04/04 12:00～13:00

## 依頼事項

* 業務に支障をきたす方は、ご連絡をください。 :man-bowing: 
"
0,tabuchi,"t2.large -> t3.xlargeに設定変更完了しました。
"
0,mattermost,"
## JBDナレッジの更新情報 :pencil: 

* 下記のページが１週間以内に更新されています。



　

|ページ|更新日|更新者|
|-|-|
|[1111_業務関連](https://wiki.jbdcl.com/648a60b7922bc9d167f33709)|2025/04/04 05:44|渡辺 唯子|
|[1112_人事慶弔関連](https://wiki.jbdcl.com/648a60eb922bc9d167f337f1)|2025/04/04 06:05|渡辺 唯子|
|[Office2016導入PC](https://wiki.jbdcl.com/65546c2028cf0e07df594ccf)|2025/04/07 01:10|田渕 達也|
|[1114_取引関連](https://wiki.jbdcl.com/648a66f7922bc9d167f354b4)|2025/04/04 05:58|渡辺 唯子|
|[パスワード変更_未実施者](https://wiki.jbdcl.com/66e90c1b9ff03c06b0fc3a74)|2025/04/06 02:10|田渕 達也|
|[1231_受講者状況](https://wiki.jbdcl.com/63e0960d922bc9d167bd84bb)|2025/04/06 02:50|田渕 達也|
|[10.棚卸未実施一覧](https://wiki.jbdcl.com/655c272828cf0e07df5e3b75)|2025/04/07 01:30|田渕 達也|
|[11.棚卸管理シール貼付け未実施一覧](https://wiki.jbdcl.com/66976f629ff03c06b09395f5)|2025/04/06 01:40|田渕 達也|
|[1260_開発サーバー](https://wiki.jbdcl.com/66c6abb29ff03c06b0d2df54)|2025/04/06 01:50|田渕 達也|
|[Windows10PC一覧](https://wiki.jbdcl.com/6556ba1528cf0e07df5aec55)|2025/04/07 01:20|田渕 達也|
|[05.類似製品](https://wiki.jbdcl.com/67ed031d9ff03c06b0026805)|2025/04/02 07:03|大指 智|
|[06.test](https://wiki.jbdcl.com/67ed0c459ff03c06b00272e7)|2025/04/02 07:07|大指 智|
|[01_ダイアログ](https://wiki.jbdcl.com/67bd654e9ff03c06b0d91dcb)|2025/03/31 10:39|山中 拓人|
|[02_イベント処理](https://wiki.jbdcl.com/67bd6f049ff03c06b0d93b22)|2025/03/31 10:39|山中 拓人|
|[03_スタイルとテーマ](https://wiki.jbdcl.com/67c002569ff03c06b0dc58b4)|2025/03/31 10:40|山中 拓人|
|[02_XMLの書式](https://wiki.jbdcl.com/67b2d09a9ff03c06b0cf7462)|2025/03/31 10:26|山中 拓人|
|[03_サービス](https://wiki.jbdcl.com/67c54b879ff03c06b0e04007)|2025/03/31 10:20|山中 拓人|
|[2401_インフラ構築業務フロー](https://wiki.jbdcl.com/67a2c2d69ff03c06b0c02b5b)|2025/03/31 07:38|大平 隆浩|
|[Grafanaを使ってPostgreSQLを監視する](https://wiki.jbdcl.com/67edfa1a9ff03c06b003183d)|2025/04/03 12:02|髙野 泰河|
|[Azure Virtual DesktopのPoC](https://wiki.jbdcl.com/67e4cca39ff03c06b0f74ff0)|2025/03/31 11:23|板坂 敬生|
|[Azure Virtual DesktopのPoC②](https://wiki.jbdcl.com/67e9fcc39ff03c06b0face26)|2025/04/04 07:44|板坂 敬生|
|[ユーザ操作](https://wiki.jbdcl.com/672d9f7e9ff03c06b0510a53)|2025/04/03 10:25|石井 教観|
|[DB設計](https://wiki.jbdcl.com/671851e69ff03c06b039fc25)|2025/04/02 02:51|石井 教観|
|[画面設計](https://wiki.jbdcl.com/67184db69ff03c06b039e961)|2025/04/04 03:57|石井 教観|
|[S10_トップ画面](https://wiki.jbdcl.com/6719cc3e9ff03c06b03ca1af)|2025/04/02 11:16|石井 教観|
|[S31_サービス詳細更新画面](https://wiki.jbdcl.com/671b3fb19ff03c06b03fa129)|2025/04/04 03:58|石井 教観|
|[S32_サービス属性一覧画面](https://wiki.jbdcl.com/67ef92749ff03c06b005d294)|2025/04/04 05:04|石井 教観|
|[S33_サービス属性詳細更新画面](https://wiki.jbdcl.com/67ef99739ff03c06b005fe9f)|2025/04/04 05:33|石井 教観|
|[S41_テナント詳細更新画面](https://wiki.jbdcl.com/671f1e739ff03c06b0426aa0)|2025/04/03 04:28|石井 教観|
|[S51_テナント側管理者詳細更新画面](https://wiki.jbdcl.com/671f46359ff03c06b04303f5)|2025/04/04 03:13|石井 教観|
|[S71_サービス利用者詳細更新画面](https://wiki.jbdcl.com/672034a49ff03c06b043ca35)|2025/04/04 02:48|石井 教観|
|[S81_LDAP認証情報詳細更新画面](https://wiki.jbdcl.com/678df5b19ff03c06b0a50d99)|2025/04/02 01:04|石井 教観|
|[S90_共通基盤認証情報一覧画面](https://wiki.jbdcl.com/67ec9c349ff03c06b000e75c)|2025/04/02 02:52|石井 教観|
|[S91_共通基盤認証情報詳細更新画面](https://wiki.jbdcl.com/67ecb7199ff03c06b0011596)|2025/04/02 02:55|石井 教観|
|[議事録テンプレート](https://wiki.jbdcl.com/67eb6c519ff03c06b0fdaf18)|2025/04/03 02:31|石井 教観|
|[DB設計](https://wiki.jbdcl.com/67907b639ff03c06b0a84f4d)|2025/04/03 09:19|石井 教観|
|[S40_議事録テンプレート一覧画面](https://wiki.jbdcl.com/67ea57e59ff03c06b0fbde70)|2025/03/31 05:52|石井 教観|
|[S41_議事録テンプレート詳細更新画面](https://wiki.jbdcl.com/67ee1a919ff03c06b0038909)|2025/04/03 02:28|石井 教観|
|[03](https://wiki.jbdcl.com/67e9f7459ff03c06b0fac746)|2025/04/01 03:57|砂盃 梨乃|
|[議事録](https://wiki.jbdcl.com/67ebbf709ff03c06b0001fd7)|2025/04/03 05:24|淺野間 龍児|
|[01.CS事業部ミーティング](https://wiki.jbdcl.com/663ad6339ff03c06b01d5890)|2025/03/31 09:16|深川 憲一|
|[2025年04月(青山)](https://wiki.jbdcl.com/67da4cf69ff03c06b0f06690)|2025/04/02 06:06|青山 謙二|
|[46期会議体](https://wiki.jbdcl.com/660a35fd9ff03c06b0df4dd4)|2025/04/03 06:18|宮田 孝弘|
|[47期会議体](https://wiki.jbdcl.com/67ee52609ff03c06b0044676)|2025/04/03 06:32|宮田 孝弘|
|[イベント出欠](https://wiki.jbdcl.com/6695eab49ff03c06b08f7a4c)|2025/04/03 06:50|宮田 孝弘|
|[出退勤について](https://wiki.jbdcl.com/6681fa269ff03c06b0749353)|2025/04/03 06:33|宮田 孝弘|
|[703_アノテーションについて](https://wiki.jbdcl.com/66f60d069ff03c06b00cb085)|2025/03/31 09:27|若林 晃|
|[保守業務について](https://wiki.jbdcl.com/6763dd3a9ff03c06b0859e77)|2025/03/31 09:54|若林 晃|
|[データ補正について](https://wiki.jbdcl.com/6763dd6f9ff03c06b085a15f)|2025/03/31 09:56|若林 晃|
|[2Z20_【NTTAT】研究所SO・電子決裁システム](https://wiki.jbdcl.com/67ecec4a9ff03c06b001fae9)|2025/04/02 04:50|井手 ゆりか|
|[10_案件説明](https://wiki.jbdcl.com/67ecec7f9ff03c06b001fc06)|2025/04/02 04:51|井手 ゆりか|
|[11_システム概要](https://wiki.jbdcl.com/67ecec869ff03c06b001fc86)|2025/04/02 04:51|井手 ゆりか|
|[20_機能説明](https://wiki.jbdcl.com/67ecef289ff03c06b0020584)|2025/04/02 05:02|井手 ゆりか|
|[01_SOシステム](https://wiki.jbdcl.com/67ecef2e9ff03c06b002060b)|2025/04/02 05:02|井手 ゆりか|
|[02_電子決裁システム](https://wiki.jbdcl.com/67ecef399ff03c06b00206a1)|2025/04/02 05:03|井手 ゆりか|
|[03_基盤管理ポータルサイト](https://wiki.jbdcl.com/67ecef3f9ff03c06b0020733)|2025/04/02 05:03|井手 ゆりか|
|[04_ユーザポータルサイト](https://wiki.jbdcl.com/67ecef479ff03c06b00207bf)|2025/04/02 05:03|井手 ゆりか|
|[30_設計書](https://wiki.jbdcl.com/67ecef139ff03c06b00204df)|2025/04/04 06:40|井手 ゆりか|
|[31_DB](https://wiki.jbdcl.com/67ecec999ff03c06b001fd3e)|2025/04/02 04:51|井手 ゆりか|
|[10_ER図](https://wiki.jbdcl.com/67ececa39ff03c06b001fdbe)|2025/04/02 04:52|井手 ゆりか|
|[20_テーブル定義書](https://wiki.jbdcl.com/67ececaa9ff03c06b001fe3c)|2025/04/02 04:52|井手 ゆりか|
|[21_シノニム管理](https://wiki.jbdcl.com/67ececb09ff03c06b001feb8)|2025/04/02 04:52|井手 ゆりか|
|[50_マクロ](https://wiki.jbdcl.com/67ececb79ff03c06b001ff34)|2025/04/02 04:52|井手 ゆりか|
|[60_初期データ](https://wiki.jbdcl.com/67ececbe9ff03c06b001ffb6)|2025/04/02 04:52|井手 ゆりか|
|[35_製造](https://wiki.jbdcl.com/67ee3d569ff03c06b003fb9e)|2025/04/03 04:48|井手 ゆりか|
|[01_SOシステム](https://wiki.jbdcl.com/67ee3d649ff03c06b003fc69)|2025/04/03 04:48|井手 ゆりか|
|[申請書（IM-FormaDesigner開発）](https://wiki.jbdcl.com/67ee3d789ff03c06b003fce5)|2025/04/03 04:49|井手 ゆりか|
|[10.デモンストレーション](https://wiki.jbdcl.com/66908bda9ff03c06b08b9f1b)|2025/04/06 02:02|大和田 啓吾|
|[11.システム導入](https://wiki.jbdcl.com/6697759f9ff03c06b093cc88)|2025/04/06 02:02|大和田 啓吾|
|[Thunderbirdのプラグインを開発する方法](https://wiki.jbdcl.com/6763799e9ff03c06b0844553)|2025/04/03 08:49|馬場 健司|
|[Thunderbirdの英文メールをChatGPTで翻訳する](https://wiki.jbdcl.com/67ee74239ff03c06b0046c36)|2025/04/03 09:02|馬場 健司|
|[ランキングページ](https://wiki.jbdcl.com/63a10a4eb5e7e15fd789a29d)|2025/04/06 02:00|田渕 達也|
|[ランキングページ_20250401](https://wiki.jbdcl.com/67eb73859ff03c06b0fde946)|2025/04/01 02:03|田渕 達也|
"
0,k-oota,"@channel 
作業開始いたします。"
0,k-oota,"@channel 
### ザイオンメンテナンス完了のお知らせ

勤怠管理システム（Zaion）のメンテナンスが完了いたしました。
ご協力いただき、ありがとうございます。
ワークフローの初回申請時は、決裁者の登録をご自身で設定していただきますよう、お願いいたします。"
