タイトル,NDC分類,NDC分類名,ページ数,著者名,刊行年月日,購入年月日,去年の貸出数,縦(mm),横(mm),厚み(mm),重さ(g),蔵書数,巻数,出版社
女王と大正,250,北アメリカ史,271,池田 蓮,1960/7/13,1960/10/16,6,177,111,26,469,1,,角川書店
図書_3794,530,機械工学,386,林 奈々,2000/6/12,2000/10/28,3,250,193,47,1990,1,,新潮社
松山の作家,910,日本文学総記,412,鈴木 次郎,2023/10/5,2024/12/4,18,148,103,31,482,1,,ハヤカワ書房
熱い西洋哲学,130,西洋哲学,167,小川 太郎,1968/2/14,1968/2/18,4,224,159,17,658,1,,早川書房
花と過去,910,日本文学総記,305,坂本 次郎,1989/4/12,1989/9/29,8,147,106,23,340,1,,弘文堂
石と英語学,830,英語,266,林 光,2010/7/10,2011/10/3,3,205,147,30,927,1,,PHP研究所
弱い英語学,830,英語,257,今井 拓哉,2018/9/18,2018/10/3,6,184,126,20,534,1,,講談社
那覇の老人,913,日本文学・小説,221,三浦 三郎,2021/4/11,2021/6/9,10,151,101,17,238,1,,技術評論社
図書_2738,430,化学,481,菊地 和子,2000/5/24,2001/11/21,20,254,182,43,1759,1,,小学館
北海道の歴史,270,オセアニア史,383,林 奈々,1981/2/21,1982/4/21,5,203,158,45,1406,1,,新潮社
魔法の嵐 2巻,913,日本文学・小説,221,藤井 正樹,2009/2/12,2009/7/8,8,210,144,27,732,1,2,翔泳社
A forgotten song,933,英米文学・小説,330,James Wilson,1998/1/22,1999/3/27,11,189,132,31,690,1,,角川書店
王子と花,913,日本文学・小説,187,清水 純,2022/8/11,2023/5/29,13,151,103,14,207,1,,有斐閣
図書_1409,410,数学,420,柴田 太郎,2021/11/12,2023/1/2,26,257,177,44,1780,1,,双葉社
白い西洋哲学,130,西洋哲学,200,伊藤 敦,2019/8/4,2019/9/12,14,166,104,20,315,1,,弘文堂
図書_4236,540,電気工学,264,工藤 典子,1969/12/22,1970/5/10,10,263,183,34,1540,1,,偕成社
図書_1623,430,化学,222,青木 史郎,2014/9/11,2015/1/18,5,254,185,27,1122,1,,ポプラ社
天文学の謎を解く,440,天文学,273,加藤 三郎,2021/12/18,2022/5/7,8,255,178,30,1275,1,,朝倉書店
図書_3391,340,財政学,484,山田 花子,2012/6/8,2013/2/1,12,181,126,44,884,1,,岩波書店
神戸の夕暮れ,914,日本文学・随筆,313,工藤 陽,2008/9/21,2009/1/7,16,239,149,32,1094,1,,光文社
砂と倫理学,150,倫理学,317,田中 太郎,1967/11/4,1968/10/31,5,171,105,34,544,1,,朝倉書店
湖の向こうに,914,日本文学・随筆,315,西田 香織,2003/8/12,2003/10/25,9,182,130,32,660,1,,オーム社
神戸を旅する,200,歴史総記,372,清水 恵子,1983/2/4,1983/6/24,5,171,103,41,666,1,,オーム社
星と西洋哲学,130,西洋哲学,302,村上 誠,2006/9/8,2006/12/28,8,173,106,26,432,1,,東京創元社
細い経済学,330,経済学,237,遠藤 史郎,2006/10/6,2007/1/11,3,148,104,16,213,1,,偕成社
ぼくの夢,914,日本文学・随筆,156,大野 湊,1996/10/12,1996/10/14,10,153,107,15,224,1,,技術評論社
図書_4430,530,機械工学,399,大野 直子,2020/10/10,2021/11/12,19,248,182,45,1859,1,,双葉社
侍女と現代,210,日本史,315,長谷川 蓮,2012/12/14,2012/12/23,3,217,170,36,1218,1,,中央公論新社
写真家の湖,914,日本文学・随筆,365,吉田 恵子,2007/7/7,2007/7/19,13,145,104,26,387,1,,吉川弘文館
弱い嵐,914,日本文学・随筆,301,藤井 香織,2015/4/1,2016/12/24,16,193,132,25,622,1,,ハヤカワ書房
霧と友情,913,日本文学・小説,284,吉田 蓮,2014/8/22,2014/8/26,26,178,126,25,552,1,,有斐閣
倫理学の世界,150,倫理学,339,橋本 和子,2013/11/27,2014/2/9,9,174,102,30,601,1,,幻冬舎
金沢の姫,913,日本文学・小説,396,原田 香織,2013/4/11,2013/9/15,4,188,117,31,618,1,,文藝春秋
音楽を学ぶ,760,音楽,377,渡辺 光,2020/8/15,2021/1/16,4,231,170,44,1679,1,,技術評論社
優しい風,913,日本文学・小説,305,土屋 陽,2005/12/22,2006/2/18,4,186,137,25,606,1,,ミネルヴァ書房
The last shadow,933,英米文学・小説,287,Karen Young,2005/3/4,2005/10/4,15,181,129,28,576,1,,角川書店
大きな英語学,830,英語,236,長谷川 京子,2020/11/1,2021/7/6,6,185,130,20,430,1,,勁草書房
武士と現代,210,日本史,279,島田 蓮,2014/9/19,2014/9/27,13,174,109,27,466,1,,新潮社
明るい谷譚,913,日本文学・小説,349,遠藤 奈々,2009/9/21,2009/10/6,9,176,129,27,563,1,,中央公論新社
あの梅雨の川,913,日本文学・小説,344,井上 史郎,2018/9/23,2018/11/15,12,194,119,28,578,1,,弘文堂
song of Dublin,953,フランス文学・小説,241,Thomas Moore,2021/7/14,2022/1/21,11,223,153,22,656,1,,文藝春秋
図書_4175,420,物理学,280,中村 凛,2012/5/7,2012/10/5,14,171,106,29,512,1,,勁草書房
探偵と霧,929,中国文学・小説,346,池田 奈々,1994/7/20,1995/8/29,6,144,109,24,368,1,,岩波書店
熊本の残暑,916,日本文学・記録・手記,221,阿部 咲,1972/11/5,1973/9/15,18,185,130,22,480,1,,朝倉書店
図書_3356,20,図書・書誌学,360,柴田 直子,1986/1/27,1987/9/18,6,169,105,35,636,1,,有斐閣
丘と奇跡,913,日本文学・小説,337,中村 次郎,2010/11/24,2011/3/12,19,204,149,33,1048,1,,岩波書店
詩人と時間,913,日本文学・小説,420,坂本 太郎,2013/9/23,2014/5/5,5,177,131,40,864,1,,日本評論社
図書_2970,530,機械工学,560,近藤 京子,1978/7/28,1978/9/13,4,173,102,61,935,1,,PHP研究所
仙台を旅する,200,歴史総記,535,高橋 湊,2011/1/22,2011/2/16,3,262,177,66,2761,1,,双葉社
現代スポーツ科学,780,スポーツ,243,青木 莉子,2019/8/16,2019/8/23,17,210,163,31,1091,1,,東京創元社
樹と愛,913,日本文学・小説,359,吉田 京子,2010/4/14,2010/10/13,9,229,157,42,1327,1,,中央公論新社
魔法の霧 6巻,913,日本文学・小説,433,柴田 雄一,2014/6/4,2014/10/26,4,221,173,41,1394,1,6,翔泳社
図書_4458,490,医学,440,柴田 拓哉,2023/9/23,2023/10/29,8,253,177,53,2043,1,,講談社
図書_4142,30,百科事典,260,加藤 三郎,1998/5/14,1998/6/24,13,182,107,21,378,1,,翔泳社
影と知識,790,諸芸・娯楽,308,平野 奈々,2021/3/4,2021/11/8,4,222,148,29,914,1,,東京創元社
図書_4757,590,家政学,353,鈴木 直子,1991/11/2,1991/11/9,5,172,103,30,492,1,,偕成社
沖縄の冬,930,英米文学総記,449,Patricia Harris,2002/11/16,2003/3/10,12,226,171,51,1713,1,,集英社
料理人の湖,913,日本文学・小説,397,山田 美咲,1976/9/6,1977/3/29,7,147,98,28,376,1,,角川書店
A silent voice,983,スカンジナビア文学,270,Donald Turner,2023/6/1,2024/12/31,9,182,132,20,433,1,,弘文堂
star of Dublin,933,英米文学・小説,271,Mark Phillips,2006/5/21,2007/4/30,17,213,143,29,857,1,,光文社
声と希望,913,日本文学・小説,363,平野 三郎,1998/4/12,1999/2/10,3,178,127,30,632,1,,翔泳社
図書_4878,420,物理学,645,西村 敦,2006/6/19,2006/7/27,3,264,180,77,3193,1,,朝倉書店
ヨーロッパを旅する,200,歴史総記,276,中村 恵子,1992/9/28,1993/3/25,11,172,98,27,413,1,,双葉社
魂と友情,913,日本文学・小説,195,中村 奈々,2019/9/3,2019/10/31,12,177,130,16,337,1,,祥伝社
草原と倫理学,150,倫理学,194,西村 和子,1976/11/25,1977/4/28,6,172,103,20,389,1,,幻冬舎
姫と大正,200,歴史総記,169,佐藤 次郎,1974/10/27,1975/1/13,14,174,102,16,317,1,,丸善
魔法の窓 2巻,913,日本文学・小説,230,三浦 葵,2017/7/26,2017/8/14,4,179,130,17,394,2,2,翔泳社
図書_4529,160,宗教総記,264,村上 咲,2002/6/27,2002/7/4,11,226,158,26,980,1,,新潮社
土木工学概論,510,土木工学,251,近藤 雄一,2016/12/25,2017/1/8,3,250,195,32,1336,1,,光文社
火と日本語学,810,日本語,345,島田 京子,1973/11/1,1975/7/13,3,149,100,33,495,1,,集英社
sky of Dublin,933,英米文学・小説,324,Nancy Wright,1950/10/16,1950/12/10,10,176,132,24,540,1,,日本評論社
ぼくらの鍵 2巻,913,日本文学・小説,477,近藤 咲,2011/8/18,2011/11/4,11,180,126,44,899,1,2,光文社
絵画・美術入門,720,絵画,296,島田 奈々,2021/11/27,2023/2/14,6,224,163,32,1225,1,,偕成社
あの睦月の島,913,日本文学・小説,231,山口 太郎,2020/2/16,2020/5/16,31,181,129,19,383,1,,祥伝社
美しい影,913,日本文学・小説,320,平野 拓哉,1981/5/21,1981/7/31,10,191,123,26,578,1,,PHP研究所
軽い経済学,330,経済学,315,柴田 蓮,2018/7/13,2019/7/15,13,149,100,25,365,1,,文藝春秋
図書_4497,410,数学,286,佐藤 典子,2019/11/17,2020/9/1,11,257,177,38,1496,1,,吉川弘文館
図書_2163,420,物理学,134,山口 蓮,1974/12/8,1975/4/27,9,174,104,12,186,1,,日本評論社
道と真実,930,英米文学総記,319,Robert Taylor,1994/8/10,1994/9/9,11,146,107,22,349,1,,早川書房
建築学実習,520,建築学,372,福田 莉子,2018/6/14,2019/3/6,3,173,105,40,633,1,,PHP研究所
武士の海,913,日本文学・小説,238,小川 莉子,1982/5/11,1982/8/1,18,150,104,19,344,1,,岩波書店
鍵王国 5巻,914,日本文学・随筆,362,西田 三郎,2019/1/9,2019/6/23,3,187,129,27,714,2,5,有斐閣
函館を旅する,280,伝記,372,柴田 京子,2006/4/22,2006/7/3,16,248,178,45,1858,1,,中央公論新社
海の向こうに,914,日本文学・随筆,377,清水 香織,1987/2/28,1987/3/15,7,214,139,43,1216,1,,吉川弘文館
弱いメディア論,70,ジャーナリズム,284,三浦 健一,2002/2/12,2002/11/5,7,222,150,32,1005,1,,朝倉書店
王子と大正,220,アジア史,367,西村 理恵,1981/3/21,1981/11/4,4,258,179,45,1892,1,,集英社
Ava's wind,933,英米文学・小説,311,Dorothy Carter,2002/7/27,2002/8/3,12,151,103,24,348,1,,勁草書房
音楽家の花,929,中国文学・小説,347,近藤 太郎,1999/5/6,2000/4/9,14,195,128,32,728,1,,講談社
電気工学ハンドブック,540,電気工学,411,池田 太郎,1972/3/6,1973/1/31,7,256,178,44,1788,1,,講談社
時間と知識,390,国防・軍事,284,鈴木 凛,2004/9/2,2004/12/5,3,177,104,26,456,1,,勁草書房
静かな光,910,日本文学総記,219,伊藤 太郎,2023/5/18,2023/12/21,5,182,131,12,276,1,,早川書房
図書_4215,580,製造工業,368,島田 京子,1971/11/21,1972/9/8,8,257,180,39,1666,1,,集英社
魂と心理学,140,心理学,375,西村 理恵,2015/3/27,2015/9/4,5,171,110,37,675,1,,集英社
図書_3686,548,情報工学,265,福田 葵,2022/6/24,2022/7/15,5,254,173,31,1442,1,,朝倉書店
丘と嘘,913,日本文学・小説,472,中村 健一,2019/8/23,2019/11/2,6,154,109,41,616,1,,岩波書店
英雄と現代,220,アジア史,145,斎藤 凛,1965/5/26,1966/1/6,4,262,184,16,711,1,,PHP研究所
ぼくらの霧 2巻,913,日本文学・小説,328,加藤 奈々,2010/10/18,2010/12/4,12,150,105,18,430,2,2,文藝春秋
あの夜の霧,913,日本文学・小説,257,工藤 隆,2017/1/28,2017/5/5,13,180,125,28,575,1,,双葉社
図書_2102,410,数学,324,松本 由美,1988/1/23,1988/8/7,5,170,105,26,415,1,,早川書房
図書_1253,548,情報工学,378,杉山 大輔,2008/7/24,2009/6/15,10,220,158,45,1423,1,,岩波書店
沖縄の教師,914,日本文学・随筆,284,加藤 恵子,1980/12/17,1980/12/20,10,149,103,21,310,1,,岩波書店
月の伝説 1巻,913,日本文学・小説,259,村上 典子,2008/11/18,2009/4/10,6,220,149,24,720,2,1,光文社
法律学入門,320,法律,306,松本 花子,2019/8/5,2020/10/23,9,166,103,35,518,1,,吉川弘文館
あの木枯らしの森,913,日本文学・小説,493,伊藤 慎吾,2019/1/16,2020/3/11,5,185,125,44,891,1,,新潮社
川と勇気,916,日本文学・記録・手記,205,山本 京子,2006/5/19,2006/8/12,8,148,106,15,240,1,,翔泳社
谷と友情 3巻,914,日本文学・随筆,339,木村 隆,2014/4/4,2014/7/11,3,179,124,36,799,2,3,技術評論社
音楽家の月,916,日本文学・記録・手記,270,清水 裕子,1987/3/6,1987/7/14,16,145,101,21,295,1,,東京創元社
火と信頼,930,英米文学総記,236,William Anderson,1979/7/5,1980/5/12,5,147,109,17,273,1,,岩波書店
苦い島譚,916,日本文学・記録・手記,170,池田 花子,2013/11/7,2014/1/23,13,201,148,18,546,1,,幻冬舎
風と信頼,913,日本文学・小説,244,山口 恵子,2021/11/10,2022/1/13,16,172,128,21,431,1,,中央公論新社
手紙の伝説 5巻,913,日本文学・小説,309,菅原 誠,2019/3/19,2019/8/22,4,177,130,25,515,1,5,角川書店
谷と心理学,140,心理学,222,福田 蓮,2013/6/25,2013/10/17,13,166,101,17,258,1,,幻冬舎
鍵と憎しみ 2巻,914,日本文学・随筆,310,福田 雄一,2011/9/13,2012/1/6,5,149,103,22,314,1,2,偕成社
太陽の伝説 2巻,914,日本文学・随筆,379,木村 湊,2003/8/20,2003/10/10,7,174,117,34,643,1,2,双葉社
沖縄の真昼,913,日本文学・小説,192,山本 健一,2004/7/13,2004/11/16,13,221,159,16,570,1,,幻冬舎
A broken fire,933,英米文学・小説,244,Daniel Scott,1961/12/23,1962/1/29,12,152,106,21,321,1,,ハヤカワ書房
奈良の旅人,913,日本文学・小説,343,山田 美咲,2005/6/14,2005/12/22,10,205,139,37,968,1,,角川書店
長い政治学,310,政治学,199,山田 純,2020/2/6,2020/8/4,7,222,148,20,621,1,,講談社
古い英語学,830,英語,193,村上 和子,2023/2/5,2023/3/25,25,233,157,19,652,1,,幻冬舎
Beyond the storm,973,ドイツ文学・小説,410,Patricia Harris,1976/10/13,1977/1/26,7,152,102,39,531,1,,集英社
夢と日本語学,810,日本語,281,前田 慎吾,2019/7/6,2020/5/15,9,218,162,31,1041,1,,有斐閣
図書_3766,460,生物科学,460,吉田 史郎,2010/10/5,2010/11/25,19,252,190,47,2003,1,,偕成社
花と政治学,310,政治学,204,田中 葵,1984/9/21,1985/1/12,4,176,101,21,350,1,,角川書店
Charlotte's mountain,933,英米文学・小説,331,Laura Davis,1995/8/27,1995/8/30,10,176,127,27,543,1,,早川書房
強い太陽シリーズ 7巻,913,日本文学・小説,140,三浦 純,2002/5/8,2002/7/24,4,150,104,11,151,3,7,丸善
現代科学,560,金属工学,321,坂本 颯,1988/12/5,1989/4/24,5,170,105,40,636,1,,東京創元社
建築学のしくみ,520,建築学,236,高橋 和子,2015/6/21,2016/1/19,10,244,166,27,988,1,,幻冬舎
松山の歴史,200,歴史総記,228,平野 湊,1959/10/3,1960/3/30,4,253,180,28,1224,1,,講談社
法律学のすすめ,320,法律,235,平野 正樹,2014/4/12,2015/7/13,15,180,103,21,617,1,,日本評論社
William's mountain,933,英米文学・小説,313,Dorothy Carter,2021/3/16,2021/5/10,9,149,99,26,443,1,,講談社
A golden city,933,英米文学・小説,253,Patricia Harris,2014/1/18,2014/8/21,10,183,122,23,458,1,,集英社
図書_4239,480,動物学,557,松本 健一,2018/11/24,2019/8/22,3,245,182,59,2356,1,,岩波書店
侍女の森,916,日本文学・記録・手記,149,青木 翔,2015/11/26,2016/1/31,3,180,134,13,283,1,,中央公論新社
図書_4604,420,物理学,419,小林 一朗,2020/6/1,2020/11/4,25,175,107,39,643,1,,早川書房
土木工学のしくみ,510,土木工学,381,藤井 美咲,2007/10/4,2007/11/27,14,171,104,39,617,1,,弘文堂
図書_4500,410,数学,278,柴田 葵,2006/2/17,2006/6/8,6,162,105,32,472,1,,集英社
軽い窓,913,日本文学・小説,350,近藤 莉子,2010/12/15,2011/1/3,7,149,106,24,354,1,,中央公論新社
大きな霧シリーズ 5巻,913,日本文学・小説,278,山本 莉子,2009/11/29,2010/5/2,8,186,133,28,657,1,5,勁草書房
図書_2720,520,建築学,539,井上 浩二,2021/8/14,2022/7/21,14,248,176,73,2686,1,,偕成社
図書_4161,520,建築学,244,加藤 敦,2021/11/9,2021/11/21,4,173,102,18,275,1,,東京創元社
手紙と経済学,330,経済学,371,池田 陽,2014/8/26,2015/6/23,13,149,103,29,398,1,,弘文堂
A forgotten heart,933,英米文学・小説,548,Patricia Harris,1992/12/28,1993/4/2,7,147,105,45,624,1,,中央公論新社
冷たい音楽,760,音楽,290,斎藤 健一,2019/12/14,2020/12/25,3,170,105,32,540,1,,文藝春秋
図書_4094,548,情報工学,320,島田 大輔,2012/3/19,2012/3/24,8,261,175,39,1659,1,,角川書店
静かな知識,90,郷土資料,208,木村 光,1967/4/2,1967/9/15,3,167,103,22,347,1,,早川書房
扉とメディア論,70,ジャーナリズム,301,土屋 誠,2014/6/11,2015/6/14,4,247,185,36,1506,1,,早川書房
手紙と法律学,320,法律,289,工藤 次郎,1966/6/19,1966/9/9,47,227,151,26,827,1,,丸善
風の伝説 4巻,914,日本文学・随筆,203,中村 湊,2006/1/19,2006/4/14,6,152,109,16,255,2,4,角川書店
現代哲学,100,哲学総記,290,柴田 正樹,1992/10/23,1993/2/19,5,166,101,25,406,1,,ハヤカワ書房
雨と信頼,913,日本文学・小説,163,山田 純,1956/9/27,1957/3/9,8,149,103,10,158,1,,角川書店
細い言葉シリーズ 6巻,933,英米文学・小説,211,Laura Davis,2004/12/9,2005/4/1,4,207,144,23,615,2,6,早川書房
図書_4335,340,財政学,170,原田 湊,2018/12/19,2018/12/22,18,200,150,21,648,1,,文藝春秋
熱い橋シリーズ 1巻,913,日本文学・小説,437,林 直子,2007/7/31,2007/12/6,14,194,125,35,746,2,1,ハヤカワ書房
魔法の草原 1巻,913,日本文学・小説,347,村上 光,2008/12/11,2009/2/16,11,149,107,31,477,3,1,丸善
大きな哲学,100,哲学総記,206,藤井 恵子,1968/7/18,1968/9/12,3,171,102,22,368,1,,有斐閣
図書_2652,420,物理学,250,林 浩二,2023/2/26,2024/2/17,14,164,109,25,411,1,,ミネルヴァ書房
老人と大正,220,アジア史,485,斎藤 正樹,2020/6/10,2020/6/15,5,263,180,54,2237,1,,早川書房
図書_2589,460,生物科学,431,吉田 敦,2021/5/16,2021/5/16,14,261,188,51,2189,1,,角川書店
魔法の砂 4巻,914,日本文学・随筆,408,吉田 次郎,2008/2/16,2008/6/11,3,148,107,39,561,2,4,集英社
新しい日本語学,810,日本語,331,今井 蓮,1998/6/2,1998/6/24,4,219,159,37,1185,1,,早川書房
魔法の影 2巻,933,英米文学・小説,323,Linda Jackson,2013/1/6,2013/6/30,10,223,140,38,1119,1,2,光文社
図書_2866,390,国防・軍事,261,近藤 陽,2023/2/20,2023/2/23,24,196,136,27,730,1,,日本評論社
図書_2398,480,動物学,337,田中 一朗,2021/11/27,2022/3/30,18,170,102,35,555,1,,PHP研究所
扉の向こうに,929,中国文学・小説,327,高橋 直子,2017/3/8,2018/2/19,15,203,148,32,960,1,,ミネルヴァ書房
王子と雪,913,日本文学・小説,229,青木 莉子,2022/3/24,2022/4/7,14,146,103,21,282,1,,東京創元社
侍女と影,913,日本文学・小説,247,今井 咲,2012/3/23,2012/4/8,7,210,138,23,709,1,,早川書房
図書_3166,490,医学,183,石川 颯,1996/3/12,1996/10/23,9,173,107,20,343,1,,偕成社
図書_4386,470,植物学,562,工藤 史郎,2020/10/16,2020/10/26,3,174,107,62,969,1,,PHP研究所
長い知識,110,哲学各論,189,斎藤 雄一,2014/12/11,2015/1/30,7,211,169,21,702,1,,早川書房
甘いキリスト教学,190,キリスト教,307,菊地 健一,1995/7/2,1995/9/1,3,259,184,38,1737,1,,幻冬舎
図書_3489,530,機械工学,341,松本 三郎,2009/1/19,2010/6/14,6,253,184,37,1528,1,,オーム社
窓の伝説 7巻,914,日本文学・随筆,457,菅原 典子,2008/11/28,2008/12/30,4,218,148,46,1317,1,7,東京創元社
孤独な島譚,916,日本文学・記録・手記,245,山田 拓哉,2015/12/11,2016/2/6,3,151,103,15,255,1,,新潮社
樹と仏教学,180,仏教,271,渡辺 一朗,1960/2/12,1960/12/15,3,256,188,32,1387,1,,ハヤカワ書房
図書_2497,548,情報工学,400,斎藤 和子,1956/4/13,1956/8/5,7,173,104,43,707,1,,集英社
嵐の向こうに,916,日本文学・記録・手記,307,福田 颯,2019/1/25,2019/10/27,29,189,121,28,578,1,,東京創元社
図書_3538,410,数学,422,吉田 裕子,1997/5/12,1997/11/23,15,258,187,57,2350,1,,朝倉書店
Ava's land,933,英米文学・小説,318,Lisa Green,1975/1/27,1975/12/11,14,216,153,38,1213,1,,弘文堂
東京の文月,913,日本文学・小説,313,田中 奈々,2023/9/21,2024/11/14,5,178,124,27,650,1,,PHP研究所
料理人と平安,230,ヨーロッパ史,368,橋本 史郎,2008/4/6,2008/10/30,8,253,182,42,1792,1,,講談社
静かな泉譚,913,日本文学・小説,310,松本 裕子,2001/5/10,2001/9/4,5,184,118,26,481,1,,東京創元社
職人の窓,913,日本文学・小説,355,田中 京子,1985/5/19,1985/6/27,7,146,107,30,439,1,,勁草書房
図書_2756,850,フランス語,333,土屋 誠,2016/7/16,2017/1/12,4,231,158,40,1469,1,,早川書房
長い東洋思想,120,東洋思想,343,阿部 浩二,2021/11/11,2022/3/27,7,245,188,42,1911,1,,新潮社
旅人と雪,913,日本文学・小説,323,村上 恵子,2007/9/11,2007/12/10,5,225,151,36,1109,1,,双葉社
少女と古代,210,日本史,330,平野 蓮,1999/9/22,1999/10/13,8,227,155,42,1311,1,,有斐閣
冷たい倫理学,150,倫理学,348,福田 咲,2022/12/4,2023/5/5,14,209,175,36,1236,1,,祥伝社
将軍と大正,200,歴史総記,239,菅原 陽,2007/7/9,2007/11/1,7,266,183,28,1256,1,,丸善
図書_3413,110,哲学各論,344,斎藤 裕子,2023/12/14,2024/10/27,24,166,99,31,495,1,,幻冬舎
石と心理学,140,心理学,155,青木 直子,2000/6/10,2000/8/31,3,177,99,14,239,1,,日本評論社
橋と社会学,360,社会学,420,工藤 陽,1989/2/12,1989/2/25,16,179,109,41,797,1,,偕成社
谷の伝説 3巻,913,日本文学・小説,264,西村 拓哉,2021/7/6,2021/12/24,5,153,106,22,333,2,3,PHP研究所
侍女と月,910,日本文学総記,345,中村 奈々,2012/4/6,2012/11/24,6,213,166,43,1391,1,,祥伝社
海と嘘 2巻,913,日本文学・小説,234,平野 文子,2006/4/22,2006/7/30,5,141,109,18,261,2,2,角川書店
冷たい心譚,914,日本文学・随筆,223,阿部 慎吾,1998/2/4,1999/8/21,4,151,109,21,305,1,,ミネルヴァ書房
赤い哲学,100,哲学総記,177,清水 凛,1992/5/25,1992/8/13,8,223,155,19,651,1,,丸善
風と未来,914,日本文学・随筆,240,前田 莉子,2020/5/6,2020/7/15,32,208,134,27,746,1,,福音館書店
図書_3747,520,建築学,264,岩田 誠,1970/12/19,1971/1/4,4,163,101,28,462,1,,PHP研究所
図書_2516,590,家政学,515,山本 由美,1969/11/4,1970/4/28,11,210,167,61,1893,1,,オーム社
図書_3745,570,化学工業,339,島田 拓哉,1967/11/8,1968/7/10,9,262,177,43,1817,1,,翔泳社
Ava's road,933,英米文学・小説,301,Michael Brown,2017/9/16,2017/12/18,16,150,110,22,328,1,,日本評論社
風の伝説 7巻,914,日本文学・随筆,200,中村 湊,2011/1/12,2011/5/5,5,155,108,14,245,3,7,岩波書店
The bright land,953,フランス文学・小説,267,Donald Turner,2017/9/17,2018/3/13,11,216,165,28,874,1,,弘文堂
あの春の影,913,日本文学・小説,504,清水 恵子,2020/3/6,2020/3/11,7,143,108,34,464,1,,弘文堂
図書_1993,420,物理学,393,平野 浩二,2014/1/11,2015/3/2,3,174,102,37,572,1,,ポプラ社
図書_3199,520,建築学,478,石川 大輔,2020/7/10,2020/9/6,4,257,189,65,2815,1,,集英社
図書_4491,548,情報工学,320,原田 一朗,1972/9/12,1972/12/30,3,170,105,32,503,1,,PHP研究所
新版数学,410,数学,640,佐藤 翔,1957/2/15,1957/6/7,8,174,107,64,1051,1,,ハヤカワ書房
図書_3572,490,医学,286,佐藤 奈々,2021/6/6,2021/7/13,9,173,105,28,449,1,,光文社
The Last city,933,英米文学・小説,343,Emma Thompson,1983/2/22,1983/7/21,10,152,104,26,378,1,,講談社
医学演習,490,医学,395,中村 咲,2017/8/12,2018/4/19,9,258,180,41,1739,1,,講談社
苦い心理学,140,心理学,345,井上 凛,2019/12/5,2020/2/14,9,175,105,38,602,1,,日本評論社
wind of Paris,953,フランス文学・小説,367,Patricia Harris,1977/5/6,1977/5/21,12,149,104,27,385,1,,集英社
函館の黎明,913,日本文学・小説,382,伊藤 由美,2012/2/15,2012/6/12,3,233,155,38,1245,1,,中央公論新社
The last dream,933,英米文学・小説,279,Joseph Allen,1979/12/28,1980/1/17,11,149,104,21,315,1,,ポプラ社
博士と古代,280,伝記,435,伊藤 大輔,2020/12/19,2021/1/18,5,219,165,41,1371,1,,ポプラ社
アメリカを旅する,200,歴史総記,264,近藤 颯,2014/3/26,2015/3/21,8,235,159,32,1126,1,,翔泳社
魔女の島,913,日本文学・小説,212,山本 奈々,1973/2/8,1974/11/16,5,149,108,18,294,1,,ハヤカワ書房
鍵と経済学,330,経済学,199,工藤 湊,1993/3/20,1993/5/9,6,175,105,20,364,1,,偕成社
数学の謎を解く,410,数学,426,今井 陽,1952/11/11,1952/12/27,16,238,153,48,1564,1,,幻冬舎
心と孤独,913,日本文学・小説,256,石川 次郎,2000/1/22,2000/5/18,7,223,170,21,761,1,,福音館書店
Amelia's heart,983,スカンジナビア文学,322,Sandra Evans,2017/11/10,2018/5/12,12,184,138,30,685,1,,有斐閣
侍女の太陽,913,日本文学・小説,596,田中 博,2016/2/28,2016/10/14,12,227,163,60,2742,1,,ポプラ社
長い空譚,913,日本文学・小説,149,渡辺 浩二,1959/4/15,1959/5/1,15,217,148,13,468,1,,文藝春秋
動物学実習,480,動物学,359,林 大輔,2003/6/15,2005/6/30,16,225,165,37,1215,1,,ハヤカワ書房
熱い太陽譚,910,日本文学総記,261,岡田 裕子,2023/3/21,2023/5/30,21,190,123,21,430,1,,福音館書店
霧のかけら,916,日本文学・記録・手記,245,林 純,1963/10/28,1963/12/10,12,148,102,21,290,1,,翔泳社
魔法の花 1巻,933,英米文学・小説,303,Nancy Wright,2015/8/13,2015/9/6,14,149,104,23,337,1,1,日本評論社
石と経済学,330,経済学,440,山本 正樹,2023/1/8,2023/1/24,11,180,130,41,861,1,,勁草書房
長野の文月,913,日本文学・小説,248,藤井 颯,1952/2/7,1952/8/11,8,216,166,28,963,1,,小学館
A golden heart,933,英米文学・小説,316,Daniel Scott,2008/9/4,2008/10/22,17,182,126,30,647,1,,ハヤカワ書房
那覇の残暑,914,日本文学・随筆,376,西村 湊,2023/8/3,2023/8/23,20,180,125,32,649,1,,翔泳社
金沢の梅雨,913,日本文学・小説,236,中村 美咲,2001/3/20,2002/2/5,6,178,134,24,603,1,,角川書店
神戸の木枯らし,929,中国文学・小説,279,林 三郎,1961/2/7,1961/6/8,11,150,111,26,361,1,,ハヤカワ書房
音楽家と平安,230,ヨーロッパ史,235,菅原 一朗,1979/8/12,1979/8/13,5,224,164,25,847,1,,新潮社
草原と英語学,830,英語,360,藤原 恵子,2017/5/6,2017/8/24,11,149,108,36,574,1,,ハヤカワ書房
生物学ハンドブック,460,生物科学,431,鈴木 美咲,1960/1/18,1960/7/2,16,235,150,54,1681,1,,幻冬舎
悲しい霧シリーズ 3巻,933,英米文学・小説,296,Susan Hall,2016/3/22,2016/8/30,11,178,126,27,557,1,3,オーム社
